dicrector_id,director
D001,Jean-Jacques Annaud
D002,Lê Hoàng
D003,Thu Trang
D004,Aaron Toronto
D005,Akio Fujimoto
D006,Anthony Russo
D007,Ash Mayfair
D008,Bảo Nhân
D009,Bong Bot Binh
D010,Bùi Kim Quy
D011,Bùi Thạc Chuyên
D012,Bùi Tuấn Dũng
D013,Bùi Văn Hải
D014,Cao Thúy Nhi
D015,Cao Trung Hiếu
D016,Charlie Nguyễn
D017,Chi Mai
D018,Courtney Marsh
D019,Daniel Goldhaber
D020,Derek Nguyen
D021,"Dóra Szücs, Hungary"
D022,Dustin Nguyễn
D023,Duy Joseph
D024,Dương Diệu Linh
D025,Dương Minh Chiến
D026,Đặng Nhật Minh
D027,Đặng Thái Huyền
D028,Đinh Công Hiếu
D029,Đinh Hà Uyên Thư
D030,Đoan Hoàng
D032,Đoàn Sĩ Nguyên
D033,Đỗ Minh Tuấn
D034,Đỗ Thành An
D035,Đồng Đăng Giao
D036,Đức Thịnh
D037,Ernie Barbarash
D038,Hà Lệ Diễm
D039,Hải Ninh
D040,Hàm Trần
D041,Hằng Trịnh
D042,Hoàng Duy
D043,Hoàng Nam
D044,Hoàng Phúc
D045,Hoàng Tuấn Cường
D046,Hồ Quang Minh
D048,Huỳnh Đông
D049,Huỳnh Lập
D050,Huỳnh Tuấn Anh
D051,Jack Carry On
D052,Jakeb Anhvu
D053,James Ngô
D054,Joe Charbanic
D055,Jordan Vogt-Roberts
D056,Kathy Uyên
D057,Kay Nguyễn
D059,Ken Ochiai
D061,Khoa Nguyễn
D062,Khương Ngọc
D063,Kim Sung-hoon
D064,Kỷ Thế Vinh
D065,La Thoại Tân
D066,Lâm Nguyên
D067,Lee Eung-bok
D068,Leon Lê
D069,Lê Bảo
D070,Lê Bảo Trung
D071,Lê Bình Giang
D072,Lê Đức Tiến
D073,Lê Hoàng Hoa
D074,Lê Minh Hoàng
D075,Lê Mộng Hoàng
D076,Lê Nguyên Bảo
D077,Lê Thanh Sơn
D078,Lê Thiện Viễn
D079,Lê Văn Kiệt
D080,Lương Đình Dũng
D081,Lưu Huỳnh
D082,Lưu Thành Luân
D083,Lưu Trọng Ninh
D084,Lý Hải
D085,Lý Minh Thắng
D086,Mai Thu Huyền
D088,Matt Shakman
D089,Nam Cito
D090,Narit Yuvaboon
D091,Ngô Quang Hải
D092,Ngô Quốc Cường
D093,Ngô Thanh Vân
D094,Ngụy Minh Khang
D095,Nguyễn Hồng Anh
D096,Nguyễn Hồng Sen
D097,Nguyễn Hữu Dũng
D098,Nguyễn Hữu Hoàng
D099,Nguyễn Hữu Mười
D100,Nguyễn Hữu Tiến
D101,Nguyễn Hữu Tuấn
D103,Nguyễn Mạnh Tuấn - Vũ Liêm
D104,Nguyễn Ngọc Lâm
D105,Nguyễn Nguyên Hoàng
D106,Nguyễn Nhật Trung
D107,Nguyễn Phan Quang Bình
D108,Nguyễn Quang Dũng
D109,Nguyễn Quang Huy
D110,Nguyễn Quang Tâm
D111,Nguyễn Quốc Duy
D112,Nguyễn Tấn Phước
D113,Nguyễn Thanh Bình
D114,Nguyễn Tuấn Anh
D115,Nguyễn Võ Nghiêm Minh
D116,Nhất Trung
D118,Oscar Dương
D119,Peter Hein
D120,Peter Mourougaya
D121,Phạm Ngọc Lân
D122,Phạm Nhuệ Giang
D123,Phạm Thiên Ân
D124,Phạm Văn Khoa
D125,Phan Anh
D126,Phan Đăng Di
D127,Phan Gia Nhật Linh
D128,Phi Tiến Sơn
D129,Phillip Noyce
D130,Quốc Công
D131,Roland Nguyen
D132,Si Mau
D133,Sơn Tùng M-TP
D134,Stas Ivanov
D135,Stephance Gauger
D136,Stephen Bradley
D137,Tae-kyeong Kim
D138,Tấn Hoàng Thông
D139,"Tenzin Tsetan Choklay, Ritu Sarin, và các đạo diễn khác"
D140,Thắng Vũ
D141,Thu Ha
D142,Timothy Linh Bùi
D143,Tony Bùi
D144,Trần Anh Hùng
D146,Trần Hữu Tấn
D147,Trần Ngọc Giàu
D148,Trần Nhân Kiên
D149,"Trần Phương Thảo, Swann Dubus"
D150,Trấn Thành
D151,Trần Thanh Huy
D152,Trần Trọng Dần
D153,Trần Văn Thủy
D154,Trần Vũ Thuỷ
D155,Trịnh Đình Lê Minh
D156,Trịnh Lâm Tùng
D157,Trương Dũng
D159,Trương Minh Quý
D160,Tùng Leo
D161,Văn Anh
D162,Victor Vũ
D163,Võ Đăng Khoa
D164,Võ Thanh Hòa
D165,Vũ Ngọc Đãng
D166,Vũ Ngọc Phượng
D167,Vũ Thành Vinh
D168,Weronika Mliczewska